CID,Molecular Formula,Molecular Weight,Canonical SMILES,InChIKey
9584722,C17H16Cl2N6,375.3,CCC1=CC=C(C=C1)N2C(=NN=N2)CC=NNC3=C(C=C(C=C3)Cl)Cl,FNOJZDJKTBHMRE-KEBDBYFISA-N
5761493,C25H20F2N2O2,418.4,CC(C)N1C2=CC=CC=C2N=C1C=C(C3=CC=C(C=C3)F)C(=O)OC4=CC=C(C=C4)F,NCPNHIIGUKAKEA-RCCKNPSSSA-N
9484491,C21H23N3O2S,381.5,CC1=CC=C(C=C1)N=C2N(C(=O)C(=CC3=CC=C(O3)N4CCCCC4)S2)C,IJBUCEGEERMLMN-SPWCFMSMSA-N
2808518,C14H22N6,274.36,CN(C)C1=CC(=NC(=C1C#N)N(C)C)N2CCNCC2,ZSIZMGHQWQOUSQ-UHFFFAOYSA-N
7114743,C9H11NO4S,229.26,CC(C(=O)O)NS(=O)(=O)C1=CC=CC=C1,KHLXTMZRKBVYST-ZETCQYMHSA-N
3156529,C15H13ClN4O2,316.74,COCC1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC=C(C=C3)Cl,OBWROHZXBQXBEH-UHFFFAOYSA-N
8209314,C18H25N3O6S,411.5,CC1CC2=C(N1S(=O)(=O)C)C=CC(=C2)C(=O)OCC(=O)NCC(=O)NC(C)C,GIBAUJUBHWLEHQ-LBPRGKRZSA-N
7239920,C22H26N4OS,394.5,CCC(C)C1=CC=CC=C1NC(=O)CSC2=NN=C(N2CC)C3=CC=CC=C3,MRTVYAKTCYIANH-INIZCTEOSA-N
5645841,C20H20N3O3+,350.4,C[NH+](C)C=CC1=C(C2=C(N1CC3=CC=CC=C3)C=CC(=C2)[N+](=O)[O-])C=O,PTZIZGXMRQIDNS-ZHACJKMWSA-O
7838204,C16H15F3N2O3,340.30,CC(C#N)(C1CC1)NC(=O)COC(=O)C2=CC=CC=C2C(F)(F)F,ZYBRQUXVMBLCAS-OAHLLOKOSA-N
5938744,C24H24BrClN2O4,519.8,C1COCCN1CCCN2C(C(=C(C3=CC=C(C=C3)Br)O)C(=O)C2=O)C4=CC=C(C=C4)Cl,JKYUSLXYPOAVCN-LSDHQDQOSA-N
2021993,C34H25N2O5+,541.6,CC(=O)OC1=CC=C(C=C1)C(=O)C2C(C3(C4N2C5=CC=CC=C5C=C4)C(=O)C6=CC=CC=C6C3=O)C7=C[NH+]=CC=C7,GIWHFOAGGSDEJP-JBOQNHBVSA-O
146916,C7H13N3O2,171.20,C1CN=C(N1)NCCCC(=O)O,YMSWNNBAZYUSOC-UHFFFAOYSA-N
6972849,C19H15ClN2O2S2,402.9,COC1=CC=CC(=C1)C2=NC(SC2)NC(=O)C3=C(C4=CC=CC=C4S3)Cl,OTZDWTDVOMPXDA-LJQANCHMSA-N
4654580,C32H27Cl2IN2O7,749.4,C1C(C(C(C=C1C(=O)NCCO)OC2=CC=CC=C2I)O)N(CC3=CC(=C(C=C3)Cl)Cl)C(=O)C4=CC5=CC=CC=C5OC4=O,PZUMOHUVFFVJBC-UHFFFAOYSA-N
9004480,C20H19ClN2O4,386.8,CC(=O)C1=CC(=CC=C1)NC(=O)C2CC(=O)N(C2)C3=C(C=CC(=C3)Cl)OC,WCOMTVIYRDGTCP-AWEZNQCLSA-N
1298625,C24H25N3O5S,467.5,COC1=CC=CC(=C1)N(CC(=O)NC2=CC=CC=C2C(=O)NCC3=CC=CC=C3)S(=O)(=O)C,NVWLPNJUPUHRBO-UHFFFAOYSA-N
8830208,C15H14N3O4+,300.29,CC(=O)C1=C[N+](=CC=C1)CC(=O)NC2=CC=CC=C2[N+](=O)[O-],YAOZYQNJUMXBGS-UHFFFAOYSA-O
4063550,C29H26N2O4S,498.6,C1CC1N(CC(=O)N(CC2=CC3=C(C=C2)OCO3)CC4=CC=CS4)C(=O)C5=CC6=CC=CC=C6C=C5,FCWHSIUJLRGNOL-UHFFFAOYSA-N
1564526,C23H24N2O,344.4,CC1=CC2=C(C=C1)NC(=C(C2=O)CN(CC=C)CC=C)C3=CC=CC=C3,FURBXBGYYZUDSV-UHFFFAOYSA-N
